dll,method
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.CollectArgs
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.ParseCommand
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.ParseFile
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.ParseExecutionPolicy
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.ParseFormat
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.ParseHelper
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.Parse
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.DisplayBanner
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.ShowHelp
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.ShowError
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.MatchSwitch
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.NormalizeFilePath
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.GetSwitchKey
Microsoft.PowerShell.ConsoleHost.dll,Microsoft.PowerShell.CommandLineParameterParser.TryParseSettingFileHelper
System.Management.Automation.dll,System.Management.Automation.ProxyCommand.GetHelpComments
System.Management.Automation.dll,System.Management.Automation.ProxyCommand.AppendType
System.Management.Automation.dll,System.Management.Automation.ProxyCommand.GetObjText
System.Management.Automation.dll,CommentHelpInfo.GetCommentBlock
System.Management.Automation.dll,InitialSessionState.Clone
System.Management.Automation.dll,ContainerParentJob.ResumeJob
System.Management.Automation.dll,ContainerParentJob.StartJob
